fips,NAME,POP70,HHD70,POP80,HHD80,POP90,HHD90,POP00,HHD00,POP10,HHD10,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05
24,Maryland,3906314,1172470,4202403,1458677,4776908,1747516,5296490,1980848,5773552,2156411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,6,9,13,13,18,27,32,39,57,85,108,150,195,245,290,349,423,581,775,1066,1244,1414,1662,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8936,9472,10032,10784,11572,12308,12830,13684,14193,14775,15737,16618,17766,18581,19487,20113,20849,21742,23472,24473,25462,26408,27117
25,Massachusetts,5543009,1717923,5732054,2032845,6014825,2247094,6349050,2443561,6547629,2547075,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,8,13,28,41,92,95,108,123,138,164,197,218,256,328,413,525,646,777,1159,1838,2417,3240,4257,4955,5752,6620,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28163,29918,32181,34402,36372,38077,39643,41199,42944,46023,50969,53348,54938,56462,58302,60265,62205,64311,66263,68087,69087,70271
26,Michigan,8844306,2647511,9238789,3189919,9290053,3418359,9938437,3785672,9883640,3872508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,25,33,53,54,65,80,334,548,787,1033,1324,1791,2294,2878,3657,4635,5486,6508,7630,9293,10791,12670,14225,15635,17130,18852,20220,21375,22646,23853,24494,25487,26844,27893,29119,29952,30717,31348,31927,32935,33929,35252,36627,37184,37751,38190,39234,40360,41347,42348,43191,43736,43928,44333
27,Minnesota,3790656,1150872,4057141,1440543,4373388,1647489,4919461,1895106,5303925,2087227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,9,14,21,35,54,60,77,89,115,138,171,235,262,287,346,398,441,504,576,629,689,742,789,865,935,986,1069,1154,1242,1335,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,2567,2721,2942,3185,3446,3602,3816,4181,4644,5136,5730,6228,6663,7234,7851
28,Mississippi,2247041,644467,2521562,828047,2573190,911376,2844629,1046426,2967297,1115768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,10,12,21,34,50,80,140,207,249,320,377,487,579,669,759,848,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4274,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207
29,Missouri,4655938,1513696,4906773,1790096,5116844,1961191,5595183,2194576,5988927,2375611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,5,5,9,16,21,35,73,93,130,183,255,377,507,671,838,903,1050,1351,1581,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024,4160,4388,4686,4895,5111,5283,5517,5667,5807,5941,6137,6321,6625,6826,6997,7171,7306,7426,7563,7840,8154,8454,8776,8919
30,Montana,663884,208512,722317,263001,799059,306175,902198,358673,989415,409607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,8,12,19,19,29,34,45,51,65,90,121,147,161,177,198,217,241,262,281,298,319,319,332,354,365,377,387,394,399,404,415,422,426,433,433,437,439,442,444,445,448,449,451,451,453,453,455,455,457,456
31,Nebraska,1477485,472230,1556046,567299,1577613,602346,1711170,666152,1826341,721130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,14,14,16,16,17,23,24,27,29,31,33,36,43,47,53,61,62,73,77,84,92,100,122,137,185,193,249,273,296,339,377,438,490,538,594,679,719,806,871,931,995,1094,1216,1348,1474,1648,1727,1827,2191,2475,2900,3126,3487,3613,3876,4332,4838,5333,5687,6125,6446
32,Nevada,484784,158802,799720,303809,1200617,466191,1998195,751140,2700551,1006250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,7,11,19,21,26,45,55,82,99,165,165,190,265,315,405,535,621,738,920,1044,1113,1279,1458,1549,1758,1880,1971,2101,2318,2456,2606,2720,2860,3036,3137,3212,3321,3524,3626,3741,3830,3937,4081,4208,4398,4539,4638,4708,4812,4934,5053,5249,5390,5473,5627,5665
33,New Hampshire,728548,222850,916059,322222,1106637,410573,1235777,474604,1316470,518973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,4,4,5,5,6,7,7,13,17,26,39,44,55,65,78,101,108,137,158,187,214,258,314,367,415,479,540,621,669,715,747,788,819,885,929,985,1020,1091,1139,1211,1287,1342,1392,1447,1491,1588,1670,1720,1793,1864,1938,2010,2054,2146,2310,2429,2518,2588,2636
34,New Jersey,7134124,2212496,7351152,2547407,7724378,2793478,8414308,3064622,8791894,3214360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,6,11,15,23,29,50,75,98,176,268,427,735,896,1336,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151,61850,64584,68824,71030,75317,78467,81420,85301,88806,92387,95865,99989,102196,105523,109038,111188,113856,116264,118652,121190,123717,126744,128269,130593
35,New Mexico,1008975,287643,1284910,436791,1515072,542713,1819047,677981,2059179,791395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,13,17,21,23,28,35,43,57,65,83,100,112,136,191,208,237,281,315,363,403,495,543,624,686,794,865,989,1091,1174,1245,1345,1407,1484,1597,1711,1798,1845,1971,2072,2210,2379,2524,2662,2728,2825,2975,3213,3411,3513,3732,3850,4031,4138
36,New York,18025594,5857755,17498167,6329711,17978957,6638547,18976428,7056847,19378102,7317755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,22,44,89,106,142,173,217,326,421,610,732,950,1374,2382,4152,7102,10356,15168,20875,25665,33066,38987,44635,53363,59568,67174,75832,83889,92381,102870,114996,122911,130689,140081,149401,159937,170512,180458,188694,195031,202208,213779,222284,229642,236763,242817,247543,251720,257246,263460,271621,282174,288076,292027,295137,299722,304401,308345,313008,316446,318984,321276
37,North Carolina,5044270,1497894,5795278,2014002,6626118,2517030,8049319,3132029,9535483,3745155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,7,7,8,16,18,25,32,34,42,66,104,144,184,269,303,399,563,638,783,972,1167,1304,1528,1582,1857,2093,2402,2585,2870,3220,3423,3651,3906,4310,4520,4788,4992,5123,5463,5859,6140,6493,6764,6951,7220,7608,8052,8542,8830,9035,9568,9947,10507,10922,11514,11668,11871,12283
38,North Dakota,558378,165150,645522,225512,638804,240878,642212,257161,672591,281192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,7,19,27,28,30,32,36,45,58,68,94,98,109,126,147,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,439,528,585,627,644,679,709,748,803,867,942,991,1033,1067,1107,1153,1191,1225,1266
39,Ohio,10643806,3287134,10770770,3825182,10847074,4087529,11353089,4445782,11536504,4603435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,13,26,37,50,67,90,120,169,247,351,444,564,706,867,1144,1406,1665,1933,2199,2547,2902,3312,3739,4043,4450,4782,5148,5512,5878,6250,6604,6975,7280,7791,8414,9107,10222,11602,12919,13725,14117,14694,15169,15587,15963,16325,16769,17303,18027,18743,19335,19914,20474,20969
40,Oklahoma,2519404,836624,2980618,1103415,3145563,1206129,3450644,1342292,3751351,1460450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,8,10,18,29,44,49,53,67,81,106,164,248,322,377,429,481,566,719,879,988,1159,1252,1327,1472,1524,1684,1794,1868,1970,2069,2184,2263,2357,2465,2570,2599,2680,2807,2894,3017,3121,3193,3253,3280,3410,3473,3618,3748,3851,3972,4044,4127
41,Oregon,2088204,690699,2598625,980060,2842333,1103309,3421426,1333728,3831074,1518938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,6,13,13,14,20,30,30,36,39,46,66,74,87,114,137,161,191,209,266,316,414,479,548,606,690,736,826,899,999,1068,1132,1181,1239,1321,1371,1447,1527,1584,1633,1663,1736,1785,1844,1910,1956,2002,2059,2127,2177,2253,2311,2354,2385,2446,2510,2579,2635,2680,2759,2839
42,Pennsylvania,11650167,3662652,11712950,4169947,11874330,4495228,12280773,4776916,12702379,5018904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,10,12,16,22,41,47,68,81,101,139,187,269,388,504,644,851,1151,1690,2218,2815,3441,4156,4997,5805,7016,8420,10109,11589,13074,14582,16414,18379,20128,21774,22955,24295,25591,26804,28314,30121,31742,32992,34005,35384,36763,38334,40298,41626,42709,43728,45323,46191,48224,49764,51071,52079,52992,53967
