"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.492933818009658,0.492339150374497,0.444329689597526,10000,0.95,0.0935928692945284,0.891264419742375,0.5,48.81,0.45,0.55,43.66,15.03,41.31
"theta[2]",0.49709481008686,0.498600540323316,0.542418119534362,10000,0.95,0.0794257447834591,0.897803742985092,0.5,49.81,0.45,0.55,42.83,14.92,42.25
"theta[3]",0.500284221603218,0.501128425655156,0.463260287293584,10605.9,0.95,0.0881431811147321,0.899094182994024,0.5,50.11,0.45,0.55,42.29,14.69,43.02
"theta[1]-theta[2]",-0.0041609920772016,-0.0055627393593439,0.0244308035678018,10000,0.95,-0.60987097686084,0.600294949367401,0,49.33,-0.05,0.05,44.81,11.94,43.25
"theta[1]-theta[3]",-0.00735040359355951,-0.00956861648383876,-0.0431249268463914,10000,0.95,-0.617800550024789,0.582325902470785,0,48.99,-0.05,0.05,44.98,11.83,43.19
"theta[2]-theta[3]",-0.00318941151635791,-0.00202437788958232,0.0377135586099246,10000,0.95,-0.637358264143619,0.583559813021706,0,49.72,-0.05,0.05,44.33,11.85,43.82
