"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.501613213458178,0.503419082076119,0.510477556840634,10000,0.95,0.0904563849187393,0.9018402478034,0.5,50.61,0.45,0.55,41.86,15.46,42.68
"theta[2]",0.501841990537265,0.503223806831388,0.506595542506737,10000,0.95,0.0993761369158398,0.90924134328901,0.5,50.53,0.45,0.55,42.02,15.02,42.96
"theta[3]",0.499322936080964,0.498385513212738,0.456417156631589,10000,0.95,0.0964522232846661,0.910442640939074,0.5,49.81,0.45,0.55,42.55,14.56,42.89
"theta[1]-theta[2]",-0.000228777079087451,-0.00161280052419804,-0.0288490351109203,10366.9,0.95,-0.610926488263035,0.590872377208081,0,49.79,-0.05,0.05,44.23,12.09,43.68
"theta[1]-theta[3]",0.00229027737721347,0.00409300145568695,0.0455483238981786,10000,0.95,-0.583761122140365,0.634211940929678,0,50.49,-0.05,0.05,43.85,11.81,44.34
"theta[2]-theta[3]",0.00251905445630092,0.00301484559060619,0.0762478598389453,10000,0.95,-0.603964020507101,0.617051446221158,0,50.37,-0.05,0.05,43.91,11.11,44.98
