"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.498830370837734,0.498094744985926,0.466354387088845,9513.6,0.95,0.199057842647244,0.776547863987587,0.5,49.59,0.45,0.55,38.59,23.28,38.13
"theta[2]",0.437224701148901,0.435861150644516,0.443005290969106,10000,0.95,0.206064437331041,0.666484452131947,0.5,29.98,0.45,0.55,54.84,26.76,18.4
"theta[3]",0.444421319438567,0.442593499937282,0.442062867030379,10000,0.95,0.231186502730895,0.669445830722236,0.5,31.05,0.45,0.55,52.54,29.36,18.1
"theta[1]-theta[2]",0.0616056696888327,0.0637438912230051,0.0971068843078925,10000,0.95,-0.314915043654211,0.430022500255033,0,62.59,-0.05,0.05,28.38,18.96,52.66
"theta[1]-theta[3]",0.054409051399167,0.0562147435885714,0.0955290596511216,10000,0.95,-0.319377942733154,0.417332897884963,0,60.67,-0.05,0.05,30.17,18.94,50.89
"theta[2]-theta[3]",-0.00719661828966577,-0.00873793360304936,-0.015325454931416,10000,0.95,-0.326428757384432,0.313318278242883,0,47.92,-0.05,0.05,40.25,23.09,36.66
